"location_id","placeName","locationType","rating","bestTimeToVisit","country","state","city","cta","status","location_geometry","category_name"
39,"Morocco","Country",0,"","Morocco","","",False,"approved","POINT(-6.037587745245016 31.996488743446648)","Country Info"
40,"Georgia","landmark",0,"","Georgia","","",False,"approved","POINT(44.0287806 41.6808672)","Country Info"
41,"Alaska","landmark",0,"","United States","Alaska","",False,"approved","POINT(-149.680909 64.4459613)","Destination Guide"
42,"Bulgaria","Country",0,"","Bulgaria","","",False,"approved","POINT(25.4856617 42.6073975)","Country Info"
43,"Peru","landmark",0,"","Peru","","",False,"approved","POINT(-75.35228127174366 -10.705300377890367)","Country Info"
44,"Yellowstone National Park","landmark",0,"","United States","Wyoming","",False,"approved","POINT(-110.5606893 44.6200885)","Places to Visit"
45,"Costa Rica","Country",0,"","Costa Rica","","",False,"approved","POINT(-84.0739102 10.2735633)","Country Info"
46,"Uzbekistan","Country",0,"","Uzbekistan","Hawaii","",False,"approved","POINT(63.9528098 41.32373)","Country Info"
47,"Venice","landmark",0,"","Italy","Veneto","Venice",False,"approved","POINT(12.3345898 45.4371908)","Destination Guide"
48,"Myanmar ","Country",0,"","Myanmar","","",False,"approved","POINT(96.43866147142175 21.463222470714584)","Country Info"
49,"RedWood National Park","landmark",0,"","United States","California","",False,"approved","POINT(-124.0505009 41.7680746)","Places to Visit"
50,"Turkey","Country",5,"","Turkey","","",False,"pending","POINT(35.2316631 39.294076)","Country Info"
52,"Maldives","landmark",0,"","Maldives","","",False,"approved","POINT(73.2244152 3.7203503)","Country Info"
53,"United Kingdom","Country",0,"","United Kingdom","","",False,"approved","POINT(-3.2765753 54.7023545)","Country Info"
55,"Austria","Country",0,"","Austria","","",False,"approved","POINT(14.12456 47.59397)","Country Info"
56,"Thailand","Country",0,"","Thailand","","",False,"approved","POINT(100.83273 14.8971921)","Country Info"
57,"Mexico","Country",0,"","Mexico","","",False,"approved","POINT(-102.0077097 23.6585116)","Country Info"
58,"Spain","Country",0,"","Spain","","",False,"approved","POINT(-4.8379791 39.3260685)","Country Info"
59,"Iceland","Country",0,"","Iceland","","",False,"approved","POINT(-18.1059013 64.9841821)","Country Info"
60,"Indonesia","landmark",0,"","Indonesia","","",False,"approved","POINT(122.51802222855417 -4.571413199621844)","Country Info"
61,"Finland","Country",0,"","Finland","","",False,"approved","POINT(25.9209164 63.2467777)","Country Info"
62,"Germany","landmark",0,"","Germany","","",False,"approved","POINT(10.4478313 51.1638175)","Country Info"
63,"Poland","Country",0,"","Poland","","",False,"approved","POINT(19.134422 52.215933)","Country Info"
64,"Russia","Country",0,"","Russia","","",False,"approved","POINT(95.90153690860508 61.984803490414976)","Country Info"
65,"Ukraine","landmark",0,"","Ukraine","","",False,"approved","POINT(31.2718321 49.4871968)","Country Info"
66,"China","Country",0,"","China","","",False,"approved","POINT(104.999955 35.0000663)","Country Info"
67,"Italy","landmark",0,"","Italy","","",False,"approved","POINT(12.674297 42.6384261)","Country Info"
68,"Norway","landmark",0,"","Norway","","",False,"approved","POINT(8.7876653 61.1529386)","Country Info"
69,"Switzerland","Country",0,"","Switzerland","","",False,"approved","POINT(8.2319736 46.7985624)","Country Info"
70,"Dubai","landmark",0,"","United Arab Emirates","Dubai","",False,"approved","POINT(55.2924146 25.2647227)","Destination Guide"
71,"France","Country",0,"","France","","",False,"approved","POINT(1.8883335 46.603354)","Country Info"
73,"Singapore","Country",0,"","Singapore","","",False,"approved","POINT(103.8194992 1.357107)","Country Info"
74,"Portugal","Country",0,"","Portugal","","",False,"approved","POINT(-8.1353519 39.6621648)","Country Info"
75,"Scotland","Country",0,"","United Kingdom","Scotland","",False,"approved","POINT(-4.1140518 56.7861112)","Country Info"
77,"Hong Kong","landmark",0,"","Hong Kong S.A.R.","","",False,"approved","POINT(114.1849161 22.350627)","Destination Guide"
78,"Ireland","landmark",0,"","Ireland","","",False,"approved","POINT(-7.9794599 52.865196)","Country Info"
79,"Belgium","Country",0,"","Belgium","","",False,"approved","POINT(4.6667145 50.6402809)","Country Info"
80,"Japan","Country",0,"","Japan","","",False,"approved","POINT(139.2394179 36.5748441)","Country Info"
81,"Monaco","landmark",0,"","Monaco","","",False,"approved","POINT(7.4197576 43.7311424)","Country Info"
82,"Romania","landmark",0,"","Romania","","",False,"approved","POINT(24.6859225 45.9852129)","Country Info"
83,"Netherlands","Country",0,"","Netherlands","","",False,"approved","POINT(5.6343227 52.2434979)","Country Info"
84,"Croatia","landmark",0,"","Croatia","","",False,"approved","POINT(15.6575209 45.3658443)","Country Info"
85,"Hawaii","landmark",0,"","United States","Hawaii","",False,"approved","POINT(-155.4283701 19.5938015)","Destination Guide"
86,"India","Country",0,"","India","","",False,"approved","POINT(78.6677428 22.3511148)","Country Info"
87,"Kauai","landmark",0,"","United States","Hawaii","Kauai County",False,"approved","POINT(-159.4945109 22.0557204)","Main Attraction"
88,"Vietnam","Country",0,"","Vietnam","","",False,"approved","POINT(107.9650855 15.9266657)","Country Info"
89,"United States","landmark",0,"","United States","","",False,"approved","POINT(-100.445882 39.7837304)","Country Info"
90,"South Africa","Country",0,"","South Africa","","",False,"approved","POINT(24.991639 -28.8166236)","Country Info"
91,"Serbia","Country",0,"","Serbia","","",False,"approved","POINT(20.55144 44.1534121)","Country Info"
92,"Qatar","Country",0,"","Qatar","","",False,"approved","POINT(51.2295295 25.3336984)","Country Info"
93,"Slovakia ","landmark",0,"","Slovakia","","",False,"approved","POINT(19.4528646 48.7411522)","Country Info"
94,"Nepal","Country",0,"","Nepal","","",False,"approved","POINT(83.9999901 28.3780464)","Country Info"
