"reel_id","platform","link","reel_place_name","travelReview","destinationGuide","placeToEat","mainAttraction","language","month","status","reel_created_at","location_id","location_name","city","state","country","locationType","location_geometry","rating","category_id","category_name","svg","btnIcon"
1423,"youtube","https://www.youtube.com/watch?v=DxtdXXePGFw","",False,False,False,False,"English","","approved","2025-08-13 04:49:14.618909+00",633,"Tiger Hill","Darjeeling","West Bengal","India","Sunrise Point","POINT(88.2853306 26.9949013)",0,28,"Famous Photo Point","/Markers/1753502482052-famous_photo_pt_new_br_pin.svg","/Icons/1751990039647-Famous_Photo_Point_new.png"
1424,"youtube","https://www.youtube.com/watch?v=ixqVBZ7DkqQ&t=27s","",False,False,False,False,"English","","approved","2025-08-13 05:54:37.065919+00",682,"Puglia","","Apulia","Italy","Destination Guide","POINT(16.6210027 40.9842539)",0,14,"Destination Guide","/Markers/1753502250615-destination_guide_new_br_pin.svg","/Icons/1751989558320-Destination_Guide_new.png"
1425,"youtube","https://www.youtube.com/watch?v=a5nIKnexEpM","",False,False,False,False,"English","","approved","2025-08-13 05:58:03.364572+00",683,"Zakinthos, Greece","","South Aegean","Greece","Destination Guide","POINT(20.898706587395537 37.787958935497485)",0,14,"Destination Guide","/Markers/1753502250615-destination_guide_new_br_pin.svg","/Icons/1751989558320-Destination_Guide_new.png"
1426,"youtube","https://www.youtube.com/watch?v=Yhohc-gQBfg","",False,False,False,False,"English","","approved","2025-08-13 05:58:47.228149+00",345,"Albania","","","Albania","Country Info","POINT(19.9999619 41.000028)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1427,"youtube","https://www.youtube.com/watch?v=qrRQKW2-HRY&t=16s","",False,False,False,False,"English","","approved","2025-08-13 05:59:18.73724+00",346,"Ethiopia","","","Ethiopia","Country Info","POINT(38.6521203 10.2116702)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1428,"youtube","https://www.youtube.com/watch?v=cuhENXdPNOQ","",False,False,False,False,"English","","approved","2025-08-13 06:01:44.096574+00",347,"Slovenia","","","Slovenia","Country Info","POINT(14.8153333 46.1199444)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1429,"youtube","https://www.youtube.com/watch?v=CeRh5Epg-3c","",False,False,False,False,"English","","approved","2025-08-13 06:02:13.540182+00",348,"Chile ","","","Chile","Country Info","POINT(-71.3187697 -31.7613365)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1430,"youtube","https://www.youtube.com/watch?v=OnrJkX4LDBs","",False,False,False,False,"English","","approved","2025-08-13 06:06:48.307528+00",349,"Argentina","","","Argentina","Country Info","POINT(-64.9672817 -34.9964963)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1431,"youtube","https://www.youtube.com/watch?v=tl223Zu09CE","",False,False,False,False,"English","","approved","2025-08-13 06:08:02.745391+00",55,"Austria","","","Austria","Country","POINT(14.12456 47.59397)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1432,"youtube","https://www.youtube.com/watch?v=dDAR5qptjCs","",False,False,False,False,"English","","approved","2025-08-13 06:08:54.860361+00",350,"El Salvador","","","El Salvador","Country Info","POINT(-88.9140683 13.8000382)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1433,"youtube","https://www.youtube.com/watch?v=JmU4krqt2rg","",False,False,False,False,"English","","approved","2025-08-13 06:09:55.19305+00",351,"Northern Norway","","","Norway","Country Info","POINT(15.563362195943121 68.38486643586202)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1434,"youtube","https://www.youtube.com/watch?v=PSZJTE38ftI","",False,False,False,False,"English","","approved","2025-08-13 06:10:20.17453+00",352,"Malta","","","Malta","Country Info","POINT(14.4476911 35.8885993)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1435,"youtube","https://www.youtube.com/watch?v=WLSYf-09NEA","",False,False,False,False,"English","","approved","2025-08-13 06:10:51.801984+00",83,"Netherlands","","","Netherlands","Country","POINT(5.6343227 52.2434979)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1436,"youtube","https://www.youtube.com/watch?v=Hk6Mvx6uCYo","",False,False,False,False,"English","","approved","2025-08-13 06:11:19.575577+00",353,"Crete","","East Attica Regional Unit","Greece","Destination guide","POINT(24.4633423 35.3084952)",0,14,"Destination Guide","/Markers/1753502250615-destination_guide_new_br_pin.svg","/Icons/1751989558320-Destination_Guide_new.png"
1437,"youtube","https://www.youtube.com/watch?v=w7fTjMc2H20","Milos ",False,False,False,False,"English","","approved","2025-08-13 06:11:43.628349+00",354,"Milos ","","","Greece","Destination Guide","POINT(24.5068338 36.709344)",0,14,"Destination Guide","/Markers/1753502250615-destination_guide_new_br_pin.svg","/Icons/1751989558320-Destination_Guide_new.png"
1438,"youtube","https://www.youtube.com/watch?v=GbkL3VDMD2Q&t=11s","",False,False,False,False,"English","","approved","2025-08-13 06:12:11.665822+00",355,"Namibia ","","","Namibia","Country Info","POINT(17.3231107 -23.2335499)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1439,"youtube","https://www.youtube.com/watch?v=kLuqCtnKr_8&t=10s","",False,False,False,False,"English","","approved","2025-08-13 06:12:48.016814+00",171,"Australia","","","Australia","Country Info","POINT(134.755 -24.7761086)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1440,"youtube","https://www.youtube.com/watch?v=QPLVtjbDz6c&t=10s","",False,False,False,False,"English","","approved","2025-08-13 06:13:17.535917+00",184,"New Zealand","","","New Zealand","Country Info","POINT(172.8344077 -41.5000831)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1441,"youtube","https://www.youtube.com/watch?v=qyIiGXpd9ao","",False,False,False,False,"English","","approved","2025-08-13 06:14:10.930733+00",71,"France","","","France","Country","POINT(1.8883335 46.603354)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1442,"youtube","https://www.youtube.com/watch?v=GLhRgjPYRh4","",False,False,False,False,"English","","approved","2025-08-13 06:14:57.500585+00",356,"Normandy","","Normandie","France","Destination Guide","POINT(0.3138532 49.0677708)",0,14,"Destination Guide","/Markers/1753502250615-destination_guide_new_br_pin.svg","/Icons/1751989558320-Destination_Guide_new.png"
1443,"youtube","https://www.youtube.com/watch?v=ntvpgujtV1M","",False,False,False,False,"English","","approved","2025-08-13 06:15:34.750884+00",357,"Corsica ","","Corse","France","Destination Guide","POINT(9.0684138 42.1880896)",0,14,"Destination Guide","/Markers/1753502250615-destination_guide_new_br_pin.svg","/Icons/1751989558320-Destination_Guide_new.png"
1444,"youtube","https://www.youtube.com/watch?v=CAGbR-_iEGE","",False,False,False,False,"English","","approved","2025-08-13 06:16:11.509231+00",344,"Montenegro","","","Montenegro","Country Info","POINT(19.5180992 42.9868853)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1445,"youtube","https://www.youtube.com/watch?v=iBSbD_7bvE8","",False,False,False,False,"English","","approved","2025-08-13 06:16:44.285129+00",59,"Iceland","","","Iceland","Country","POINT(-18.1059013 64.9841821)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1446,"youtube","https://www.youtube.com/watch?v=JuDCQJMMNzs","",False,False,False,False,"English","","approved","2025-08-13 06:17:30.310456+00",84,"Croatia","","","Croatia","landmark","POINT(15.6575209 45.3658443)",0,12,"Country Info","/Markers/1753502235884-country_info_new_br_pin.svg","/Icons/1751989468175-Country_Info_new.png"
1447,"youtube","https://www.youtube.com/watch?v=VwKSPV45VDM","",False,False,False,False,"English","","approved","2025-08-13 06:18:02.952561+00",358,"Faroe Islands","Farum","Capital Region of Denmark","Denmark","Destination Info","POINT(-6.8819254 62.0282362)",0,14,"Destination Guide","/Markers/1753502250615-destination_guide_new_br_pin.svg","/Icons/1751989558320-Destination_Guide_new.png"
